frame,aidUsed,candidates,selected,maxRelativeSupport,validCandidates,maxModeSecondMoment
572,1,1,1,1,1,0
573,1,1,1,1,1,0
574,1,1,1,1,1,0
575,1,1,1,1,1,0
576,1,1,1,1,1,0
577,1,1,1,1,1,0
578,1,1,1,1,1,0
579,1,1,1,1,1,0
580,1,1,1,1,1,0
581,1,1,1,1,1,0
582,1,1,1,1,1,0
583,1,1,1,1,1,0
584,1,1,1,1,1,0
585,1,1,1,1,1,0
586,1,1,1,1,1,0
587,1,1,1,1,1,0
588,1,1,1,1,1,0
589,1,1,1,1,1,0
590,1,1,1,1,1,0
591,1,1,1,1,1,0
592,1,1,1,1,1,0
593,1,1,1,1,1,0
594,1,1,1,1,1,0
595,1,1,1,1,1,0
596,1,1,1,1,1,0
597,1,1,1,1,1,0
598,1,1,1,1,1,0
599,1,1,1,1,1,0
600,1,1,1,1,1,0
601,1,1,1,1,1,0
602,1,1,1,1,1,0
603,1,1,1,1,1,0
604,1,1,1,1,1,0
605,1,1,1,1,1,0
606,1,1,1,1,1,0
607,1,1,1,1,1,0
608,1,1,1,1,1,0
609,1,2,2,1,2,0
610,1,2,2,1,2,0
611,1,2,2,1,2,0
612,1,2,2,1,2,0
613,1,2,2,1,2,0
614,1,1,1,1,1,0
615,1,1,1,1,1,0
616,1,1,1,1,1,0
617,1,1,1,1,1,0
618,1,1,1,1,1,0
619,1,1,1,1,1,0
620,1,2,1,1,2,0
621,1,2,1,1,2,0
622,1,2,2,1,2,0
623,1,2,1,1,2,0
624,1,2,1,1,2,0
625,1,2,1,1,2,0
626,1,2,1,1,2,0
627,1,2,1,1,2,0
628,1,2,1,0.500898001891538,2,0.0028738354984182
629,1,2,2,1,2,0
630,1,2,1,0.528254487962795,2,0.000592052160746037
631,1,2,1,0.525483735712289,2,0.000734913597047998
632,1,2,1,1,2,0
633,1,2,2,0.561307757530137,2,0.0113019438304267
634,1,2,2,0.547769196090216,2,0.00612954749413028
635,1,2,2,1,2,0
636,1,1,1,1,1,0
637,1,1,1,1,1,0
638,1,1,1,1,1,0
639,1,1,1,1,1,0
640,1,1,1,1,1,0
641,1,1,1,1,1,0
642,1,1,1,1,1,0
643,1,1,1,1,1,0
644,1,1,1,1,1,0
645,1,1,1,1,1,0
646,1,1,1,1,1,0
647,1,1,1,1,1,0
648,1,1,1,1,1,0
649,1,1,1,1,1,0
650,1,1,1,1,1,0
651,1,1,1,1,1,0
652,1,1,1,1,1,0
653,1,2,2,1,2,0
654,1,2,2,1,2,0
655,1,2,2,1,2,0
656,1,2,2,1,2,0
657,1,1,1,1,1,0
658,1,1,1,1,1,0
659,1,1,1,1,1,0
660,1,1,1,1,1,0
661,1,1,1,1,1,0
662,1,1,1,1,1,0
663,1,1,1,1,1,0
664,1,1,1,1,1,0
665,1,1,1,1,1,0
666,1,1,1,1,1,0
667,1,1,1,1,1,0
668,1,1,1,1,1,0
669,1,1,1,1,1,0
670,1,1,1,1,1,0
671,1,1,1,1,1,0
672,1,1,1,1,1,0
673,1,1,1,1,1,0
674,1,1,1,1,1,0
675,1,1,1,1,1,0
676,1,1,1,1,1,0
677,1,1,1,1,1,0
678,1,1,1,1,1,0
679,1,1,1,1,1,0
680,1,1,1,1,1,0
681,1,1,1,1,1,0
682,1,1,1,1,1,0
683,1,1,1,1,1,0
684,1,1,1,1,1,0
685,1,1,1,1,1,0
686,1,1,1,1,1,0
687,1,1,1,1,1,0
688,1,1,1,1,1,0
689,1,1,1,1,1,0
690,1,1,1,1,1,0
691,1,1,1,1,1,0
692,1,1,1,1,1,0
693,1,1,1,1,1,0
694,1,1,1,1,1,0
695,1,1,1,1,1,0
696,1,1,1,1,1,0
697,1,1,1,1,1,0
698,1,1,1,1,1,0
699,1,1,1,1,1,0
700,1,2,1,1,2,0
701,1,2,1,1,2,0
702,1,2,2,1,2,0
703,1,2,2,1,2,0
704,1,1,1,1,1,0
705,1,1,1,1,1,0
706,1,1,1,1,1,0
707,1,1,1,1,1,0
708,1,1,1,1,1,0
709,1,1,1,1,1,0
710,1,1,1,1,1,0
711,1,1,1,1,1,0
712,1,1,1,1,1,0
713,1,1,1,1,1,0
714,1,1,1,1,1,0
715,1,1,1,1,1,0
716,1,1,1,1,1,0
717,1,1,1,1,1,0
718,1,2,2,1,2,0
719,1,2,2,1,2,0
720,1,2,1,1,2,0
721,1,2,1,1,2,0
722,1,2,1,0.512815490772741,2,0.000556455659395017
723,1,2,1,1,2,0
724,1,2,2,1,2,0
725,1,2,2,1,2,0
726,1,2,2,1,2,0
727,1,2,2,1,2,0
728,1,2,2,1,2,0
729,1,2,1,0.505581291445975,2,0.000424208138118519
730,1,1,1,1,1,0
731,1,1,1,1,1,0
732,1,1,1,1,1,0
733,1,1,1,1,1,0
734,1,1,1,1,1,0
735,1,1,1,1,1,0
736,1,1,1,1,1,0
737,1,1,1,1,1,0
738,1,1,1,1,1,0
739,1,1,1,1,1,0
740,1,1,1,1,1,0
741,1,1,1,1,1,0
742,1,1,1,1,1,0
743,1,1,1,1,1,0
744,1,1,1,1,1,0
745,1,1,1,1,1,0
746,1,1,1,1,1,0
747,1,1,1,1,1,0
748,1,1,1,1,1,0
749,1,1,1,1,1,0
750,1,1,1,1,1,0
751,1,1,1,1,1,0
752,1,1,1,1,1,0
753,1,1,1,1,1,0
754,1,1,1,1,1,0
755,1,1,1,1,1,0
756,1,1,1,1,1,0
757,1,1,1,1,1,0
758,1,1,1,1,1,0
759,1,1,1,1,1,0
760,1,1,1,1,1,0
761,1,1,1,1,1,0
762,1,1,1,1,1,0
763,1,1,1,1,1,0
764,1,1,1,1,1,0
