stiffnessFactor,seed,rawRmseM,rawMaximumM,rawP95M,rawHeadingRmseDeg,observerRmseM,observerMaximumM,observerP95M,observerHeadingRmseDeg,maximumCourseRate,allMetricsNoWorse
0.7,20260915,0.174689577932047,0.467634466420029,0.291316550584697,0.240369013713431,0.141568147673679,0.287821883178978,0.22622238841791,0.124092551615298,0.177125820037132,1
0.7,20260916,0.180398526323008,0.519840836145375,0.301081389121029,0.239970778982287,0.143804800719417,0.245410399923436,0.210556243327197,0.124308004315968,0.176999222395238,1
0.7,20260917,0.169214131015413,0.445914797761633,0.282621146244942,0.249850776831732,0.13718495404892,0.253921422596111,0.205431928749722,0.124219833449303,0.176635825048783,1
0.7,20260918,0.17543860790234,0.444693616184507,0.301601182135452,0.245562275175913,0.138894276473687,0.269749930770164,0.20844537450077,0.124118969388508,0.175919357416576,1
0.7,20260919,0.172371619985968,0.487102253567759,0.281635520539087,0.249584934280437,0.133724899792422,0.243539805717509,0.200688087474143,0.123200979459626,0.178512230270163,1
0.7,20260920,0.180841561969746,0.432271616912905,0.303841232979168,0.248142433410584,0.144454797506236,0.320420826139767,0.216345480901635,0.119392539659325,0.180171839239399,1
0.7,20260921,0.16997051075583,0.424612507650185,0.281546531748809,0.267881599572087,0.134006453542802,0.248222048537124,0.207765479403834,0.137238447872625,0.1783560799646,1
0.7,20260922,0.179157412981161,0.409766029138933,0.303170892878235,0.246317310874524,0.143565183850519,0.289768497134653,0.215574090921424,0.131500762903343,0.176623023328636,1
0.7,20260923,0.173191661267085,0.488607144663866,0.292910077674506,0.238796045653277,0.13735776276637,0.296304015511572,0.213940988042341,0.128964723481804,0.176210081993688,1
0.7,20260924,0.164076186980428,0.403419443935928,0.264883029421457,0.246977175857059,0.130340167494597,0.230750544849829,0.193799329268858,0.115404770378738,0.176352089563872,1
1,20260915,0.174689255784861,0.467634466420029,0.291317712322527,0.240368035306947,0.142647034997752,0.286038695244852,0.225203039446584,0.124091306107606,0.174855188468464,1
1,20260916,0.180399113770234,0.519840836145375,0.301073714848563,0.239970044127587,0.14606374066713,0.251775321347463,0.211967703993483,0.124304431209421,0.174205171735534,1
1,20260917,0.169213871748692,0.445914797761633,0.282608875240284,0.249846449969483,0.137770015402365,0.253140480682178,0.204315355796855,0.124210918948387,0.173807519023919,1
1,20260918,0.175438822622342,0.444693616184507,0.301620195234654,0.245563173959892,0.140364349933908,0.261815779267401,0.212105368056413,0.124119822034005,0.173377232691669,1
1,20260919,0.172372681214004,0.487102253567759,0.281635514185061,0.249581622286201,0.135842867691302,0.235882525010446,0.202698761968002,0.123194945660345,0.175690128527918,1
1,20260920,0.18084158460887,0.432271616912905,0.303837815503199,0.248144577546464,0.146198492524545,0.320456691632409,0.219209471561725,0.119396425000484,0.177328491940085,1
1,20260921,0.169971719444584,0.424612507650185,0.281529510172174,0.267881441188657,0.134981054771007,0.246173838683782,0.208755550033176,0.137239355336884,0.176390726485547,1
1,20260922,0.179158695690808,0.409766029138933,0.303170827461433,0.246316854630689,0.145773332589754,0.296981475198235,0.218281125135214,0.131499779948263,0.174140788176744,1
1,20260923,0.173191160984945,0.488607144663866,0.292902144603789,0.23879719500188,0.138875506312154,0.301254171769528,0.216275717783279,0.128966222205747,0.174313205707819,1
1,20260924,0.164078441576499,0.403419443935928,0.264891323822751,0.246977238933808,0.13236005514465,0.232657399696478,0.193794681535305,0.115406342932964,0.173173345865448,1
1.3,20260915,0.17468940365371,0.467634466420029,0.291318403265136,0.240367691639461,0.143672751797473,0.285093508379033,0.226782071845574,0.124091023101125,0.173512170582695,1
1.3,20260916,0.180399768662617,0.519840836145375,0.301070600130877,0.239969585332033,0.14768194601991,0.257270685856827,0.214399010146626,0.124302030456643,0.172779169944936,1
1.3,20260917,0.16921397891615,0.445914797761633,0.282602213040807,0.249844425119191,0.138530584234668,0.259927596519045,0.204840083086581,0.124206437548628,0.172443586530286,1
1.3,20260918,0.175439234776815,0.444693616184507,0.301631155859339,0.2455634357729,0.141587670978919,0.257701089180324,0.215445735364204,0.124119951010092,0.171971863532216,1
1.3,20260919,0.172373542722895,0.487102253567759,0.281635371244828,0.249579844590931,0.137408228196964,0.235211882106852,0.203804860528327,0.123191737318869,0.174076656976594,1
1.3,20260920,0.180841913429521,0.432271616912905,0.303835713684178,0.248145795763794,0.147548701308376,0.320488074522236,0.221982976080201,0.119398295416411,0.175704426922773,1
1.3,20260921,0.169972651437975,0.424612507650185,0.28152017481196,0.267881528889416,0.135939029561256,0.246173838683782,0.211048378172687,0.137239907282816,0.175199533533245,1
1.3,20260922,0.179159798832672,0.409766029138933,0.303172042098163,0.246316479204385,0.14735510070706,0.301293931016511,0.221372759990421,0.1314988561392,0.172693318228304,1
1.3,20260923,0.173191265502502,0.488607144663866,0.29289916026435,0.238797463640463,0.14013859135316,0.304607911741235,0.218370108025193,0.128966452926624,0.173156260766492,1
1.3,20260924,0.164079975926077,0.403419443935928,0.264896083718557,0.246976954287886,0.133866505431365,0.23381886519911,0.194306415759686,0.115406666081419,0.171720152592516,1
