profile,scenario,seed,samples,rmseAllMps,rmsePost6Mps,biasPost6Mps,p95Post6Mps,maxPost6Mps,peakAllMps,settling005Seconds,yawRmsePost6Radps,betaRmsePost6Deg,dynamicParticipationMean,finite,runtimeSeconds,meanMicrosecondsPerSample
reference,noiseless,2026,2401,0.0379156483157905,0.0010271636756766,-0.000859528718719492,0.0018358897835893,0.00383831887216846,0.5,0.48,2.52884609387553e-07,0.217195367509265,0.974566759896222,1,0.334009,139.112453144523
reference,nominal,2026,2401,0.0380042001970279,0.00219117565738176,-0.000977999691437204,0.00440537576576343,0.00789243725785971,0.5,0.49,0.000158955029004555,0.216477575498003,0.974455753204193,1,0.320528,133.497709287797
reference,nominal,2027,2401,0.037991922100268,0.00225784406464124,-0.000873705252248253,0.00463374500872011,0.0095301861136502,0.500143945097473,0.48,0.000163863130903481,0.216766623771375,0.97480664087273,1,0.314203,130.863390254061
reference,nominal,2028,2401,0.0377847760513273,0.00216186723510729,-0.000689778154106796,0.00451294852275273,0.00765742259382481,0.5,0.49,0.000165117013630532,0.217258892942638,0.974413312496139,1,0.321819,134.035401915868
reference,nominal,2029,2401,0.0379723138718677,0.00235833222028539,-0.000990428971076712,0.0045659876715913,0.00860027781245698,0.5,0.49,0.000147998927666251,0.217557628869689,0.974617861424537,1,0.321564,133.929196168263
reference,nominal,2030,2401,0.0381096898588534,0.00227614378248284,-0.0010186051554442,0.00431502411207298,0.00793414676461945,0.500140163408183,0.48,0.000153605371875881,0.217345149074528,0.97446744878516,1,0.312511,130.158683881716
reference,nominal,2031,2401,0.0379693723355124,0.00227572398108094,-0.000734506334662376,0.00451967332924046,0.00682234102315671,0.5,0.49,0.000164927695624666,0.217558987247721,0.974321446039116,1,0.330764,137.760932944606
reference,nominal,2032,2401,0.0380618672935365,0.00235693480797727,-0.000777438195127113,0.0046640337431555,0.00758812456851354,0.501117659235073,0.48,0.000165731439446743,0.216995849648572,0.974528569936731,1,0.312706,130.239900041649
reference,nominal,2033,2401,0.037990478086711,0.00243115764742413,-0.000851162375372174,0.00471403021121643,0.00916324070411112,0.500099275684542,0.48,0.000175959017269326,0.217083625192929,0.974504655890472,1,0.315028,131.206997084548
reference,nominal,2034,2401,0.0380082753977827,0.00224579663581426,-0.00106061765568801,0.00436062219459653,0.0072551464747268,0.5,0.49,0.000143389562909673,0.217302593464825,0.974697940671374,1,0.313788,130.690545605997
reference,nominal,2035,2401,0.0380325017672995,0.00230956059413507,-0.000947310765114245,0.00460639154251334,0.00977880161136824,0.5,0.48,0.000143964778124409,0.217297562058345,0.97437362903011,1,0.313832,130.708871303623
reference,nominal,2036,2401,0.0378908623870976,0.00234702018952133,-0.00089226356919448,0.00468260822512926,0.00672006192991456,0.5,0.49,0.000165846048318972,0.217221697259691,0.974481587460225,1,0.313652,130.633902540608
reference,nominal,2037,2401,0.0379734169139753,0.00234542057632862,-0.000914687975902729,0.00462162950590248,0.00894836869926152,0.5,0.48,0.000140066797046877,0.217619970811749,0.974600345256254,1,0.322268,134.222407330279
reference,nominal,2038,2401,0.038021388723445,0.00238087248259184,-0.000788513662684859,0.00462733849351013,0.00752956492752729,0.5,0.49,0.000167727634067193,0.217252843144917,0.974610685087288,1,0.319147,132.922532278217
reference,nominal,2039,2401,0.0380394634136175,0.00237936494539395,-0.0009931015847995,0.00476396716333402,0.00859167469708744,0.500831389684462,0.48,0.000159081861147585,0.217448887681477,0.974458827293891,1,0.323931,134.915035401916
reference,nominal,2040,2401,0.0379855421006841,0.00242178116700499,-0.000829964684069555,0.00481554238498456,0.0102249984880951,0.500535825171092,0.48,0.000159893978644882,0.217084955450398,0.974446838693762,1,0.332938,138.666389004581
reference,nominal,2041,2401,0.0379713524075654,0.00224462402411765,-0.000780207155870759,0.00472941111792022,0.00821438270533575,0.5,0.48,0.00014768336159947,0.217432329141029,0.974313097461713,1,0.315169,131.265722615577
reference,nominal,2042,2401,0.0380651475165703,0.0023672357655718,-0.000917606812251971,0.00447517041569207,0.00664684721630193,0.500271172233246,0.49,0.000161862480364898,0.217399251607851,0.974823335659974,1,0.334561,139.342357351104
reference,nominal,2043,2401,0.0379740534151131,0.00229811307635542,-0.000998347291199195,0.00447049550317152,0.00747522151239632,0.5,0.49,0.00015302142982048,0.217725683223424,0.974539711202131,1,0.321873,134.057892544773
reference,nominal,2044,2401,0.0379329674587934,0.00224693716955801,-0.000912719121974406,0.0043904593114345,0.00720433875974338,0.5,0.49,0.000154527095407907,0.217138168390753,0.974590875372919,1,0.317859,132.386089129529
reference,nominal,2045,2401,0.0379395885010182,0.00228327161991901,-0.000871325553302512,0.00458838780474671,0.0087628125152911,0.500280559999989,0.48,0.000154885891267568,0.217069885688764,0.974570288875949,1,0.316338,131.752603082049
reference,noise5x,2026,2401,0.0392790676172315,0.00959008043055583,-0.00152098880013847,0.019372688168489,0.032460909804055,0.501924092044626,0.5,0.000794654110121014,0.21405841468138,0.973500498454175,1,0.324167,135.013327780092
